 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
427.0,13.0,116.0,0.782608688847,0.9999999850749999,0.9253731205169999,6.0,4.0,0.0,0.0,4.698275862069999,8.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,535.0,186.75,2700.0,843300.0,309862.5,965.470899471,4084.40102828,2551.10202797,1400.0,4900.0,3150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5054269482370001,0.27653742843699997,0.16753673698899998,0.0250012958645,0.025497590472599998,0.38175990676,0.212412587413,0.060344827586199995,0.00862068965517,0.875,0.125,0.436147186147,0.13636363636399998,0.8,-0.125,-0.125,-0.125,0.375,-0.125,0.125,0.125,6077.0
178.0,6.0,232.0,0.620689652497,0.999999992188,0.804687493713,8.0,6.0,1.0,0.0,4.39655172414,5.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,748.0,185.8,4300.0,843300.0,329800.0,1949.6,3530.88944993,2787.75387864,1000.0,11200.0,4025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40999023634000004,0.040010373733199996,0.0400074329588,0.0400006554288,0.469991301539,0.47769961520000004,0.149440836941,0.0431034482759,0.012931034482799999,0.769230769231,0.23076923076900002,0.338993506494,0.13636363636399998,0.6,-0.166666666667,-0.2,-0.1,0.0,0.0,0.5,0.0,6186.0
604.0,9.0,219.0,0.648401823523,0.999999991379,0.818965510181,4.0,1.0,0.0,1.0,4.61643835616,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,849.0,369.0,8400.0,690400.0,191183.333333,2932.0509165,4175.52631579,3365.37171849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333340229548,0.0333371801214,0.0333751968933,0.0333335447556,0.8666200552750001,0.554271062271,0.132673992674,0.0502283105023,0.027397260274,0.647058823529,0.35294117647100004,0.457792207792,0.1,1.0,-0.269810744811,-0.666666666667,-0.07142857142860001,0.125,0.0,0.375,0.0,4987.0
452.0,14.0,126.0,0.69841269287,0.999999986301,0.849315056859,5.0,4.0,0.0,1.0,3.97619047619,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,594.0,187.5,0.0,843300.0,386777.77777800005,0.0,6228.39933444,3355.25137944,6300.0,6300.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.022223131221400003,0.022405636041599997,0.022222594131299997,0.910925991356,0.02222264725,0.475,-0.122159090909,0.015873015873,0.015873015873,0.5,0.5,0.218181818182,0.13636363636399998,0.3,-0.4,-0.5,-0.3,0.4,0.1,0.1,0.1,6470.0
357.0,12.0,383.0,0.5186170198969999,0.99999999537,0.671296293188,9.0,4.0,1.0,0.0,4.73107049608,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,393.0,192.5,2200.0,843300.0,267866.666667,995.0,3575.34226762,2193.8887176999997,1000.0,1100.0,1050.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0343590484636,0.199985474749,0.698986594506,0.0333336076823,0.0333352745989,0.375903880071,0.09122574955910001,0.0182767624021,0.0208877284595,0.46666666666699996,0.533333333333,0.369897959184,0.214285714286,0.5,-0.180902777778,-0.4,-0.1,0.45,0.35,0.05,0.35,5865.0
501.0,10.0,197.0,0.726256979183,0.9999999911499999,0.81415928483,3.0,3.0,1.0,17.0,4.26903553299,10.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,451.0,154.777777778,0.0,843300.0,307620.0,0.0,4825.93986637,3037.5050653999997,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0203482855323,0.0205890311119,0.0200494348815,0.743011859708,0.196001388766,0.646726190476,-0.00446428571429,0.0406091370558,0.0456852791878,0.470588235294,0.529411764706,0.475,0.166666666667,1.0,-0.489682539683,-1.0,-0.07142857142860001,0.683333333333,-0.15,0.18333333333299998,0.15,6051.0
19.0,12.0,170.0,0.646706582954,0.999999990385,0.7692307618340001,3.0,2.0,1.0,0.0,4.69411764706,7.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,531.0,164.16666666700002,0.0,843300.0,319385.714286,0.0,3391.5256736999995,2125.96315465,817.0,817.0,817.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0286456960213,0.18186158808800001,0.028573622474799998,0.0285732636722,0.732345829744,0.450443207586,0.16134044526900002,0.06470588235290001,0.005882352941180001,0.916666666667,0.08333333333330001,0.32505903187699997,0.1,0.5,-0.1875,-0.1875,-0.1875,0.0,0.0,0.5,0.0,6078.0
345.0,8.0,618.0,0.47811993439499995,0.999999996678,0.7740863761660001,4.0,3.0,1.0,0.0,4.25080906149,7.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,709.0,213.83333333299998,0.0,843300.0,161985.714286,0.0,3574.4285062,2428.74387723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315771768248,0.45627979977300004,0.0285759374973,0.028574816259599997,0.170797678222,0.435109494415,0.164812610229,0.050161812297700004,0.016181229773500002,0.756097560976,0.243902439024,0.422926267281,0.1,1.0,-0.34333333333300003,-0.5,-0.166666666667,0.833333333333,-0.5,0.33333333333299997,0.5,5359.0
125.0,14.0,420.0,0.5763546783829999,0.999999996226,0.7056603746960001,1.0,1.0,3.0,1.0,4.740476190480001,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,570.0,139.2,0.0,843300.0,203233.333333,0.0,6525.01570681,2916.49789159,11100.0,11100.0,11100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.693341164782,0.206105111449,0.0333358182815,0.0338833479757,0.0333345575119,0.38242035741999997,0.144405594406,0.0547619047619,0.0142857142857,0.793103448276,0.206896551724,0.280187747036,0.0625,0.7,-0.14375,-0.1875,-0.05,0.30303030303,0.0909090909091,0.19696969697,0.0909090909091,5690.0
696.0,10.0,328.0,0.5731707299600001,0.999999995305,0.708920184465,8.0,4.0,1.0,0.0,5.28048780488,7.0,0.0,0.0,0.0,0.0,0.0,1.0,217.0,450.0,330.0,2100.0,69100.0,26871.4285714,837.0714285710001,2563.86213786,1707.44220326,712.0,3200.0,1541.33333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714931177,0.028571462962899998,0.885712894393,0.028571761049700002,0.0285723884771,0.329513888889,0.012847222222200002,0.0182926829268,0.021341463414599998,0.46153846153800004,0.538461538462,0.279166666667,0.1,0.5,-0.21666666666700002,-0.5,-0.05,0.0,0.0,0.5,0.0,1930.0
